feature	model	seed	num_slides	acc	bacc	macro_auc	macro_f1	checkpoint	checkpoint_sha256	split_sha256
r50	AB_MIL	2024	87	0.5862068965517241	0.592391304347826	0.759375	0.5725684485006518	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/AB_MIL/seed2024/BRACS3/AB_MIL/time_2026-07-10-11-25_BRACS3_AB_MIL_seed_2024/Best_EPOCH_17.pth	c3d114009bc9553a9baf99b59a21fd29c179f06a633b150ba89f93f560df927f	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	AB_MIL	2025	87	0.6206896551724138	0.6195652173913043	0.777630928853755	0.6100615802108339	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/AB_MIL/seed2025/BRACS3/AB_MIL/time_2026-07-10-11-54_BRACS3_AB_MIL_seed_2025/Best_EPOCH_21.pth	c8435891f1531ff42ac512d268517f29ceabe95c10e13856a0659dd37d2a6f65	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	AB_MIL	2026	87	0.5747126436781609	0.6023550724637681	0.7839715085639	0.5432770205196188	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/AB_MIL/seed2026/BRACS3/AB_MIL/time_2026-07-10-11-53_BRACS3_AB_MIL_seed_2026/Best_EPOCH_10.pth	76ba7dbcc2f36f8060f9393eb5cb4d5524902b973d8dc53991c405740e2f3695	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	AC_MIL	2024	87	0.6206896551724138	0.6317934782608695	0.7843461791831358	0.6102174797826971	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/AC_MIL/seed2024/BRACS3/AC_MIL/time_2026-07-10-11-54_BRACS3_AC_MIL_seed_2024/Best_EPOCH_26.pth	a25497f4d12820d81b11470d6d5e38ad5e5d9e975d7fd58b64c6352c2fff317e	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	AC_MIL	2025	87	0.5402298850574713	0.5629528985507246	0.764081027667984	0.5416666666666666	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/AC_MIL/seed2025/BRACS3/AC_MIL/time_2026-07-10-12-12_BRACS3_AC_MIL_seed_2025/Best_EPOCH_14.pth	f8054a7269d1c1010db796130cc0268c447ba0866129c09d67d34b86f209a787	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	AC_MIL	2026	87	0.5977011494252874	0.5865036231884058	0.7680335968379447	0.5878239891056017	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/AC_MIL/seed2026/BRACS3/AC_MIL/time_2026-07-10-12-39_BRACS3_AC_MIL_seed_2026/Best_EPOCH_12.pth	6f4fd38fba8e3bb8987f7f3a62847b5b31a9df95c171e5d6dfebc605c155c1cb	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	CLAM_MB_MIL	2024	87	0.6206896551724138	0.6154891304347826	0.7930171277997365	0.6141935483870967	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/CLAM_MB_MIL/seed2024/BRACS3/CLAM_MB_MIL/time_2026-07-10-11-25_BRACS3_CLAM_MB_MIL_seed_2024/Best_EPOCH_14.pth	368a7903d9db858b579aaa1d786cc7d53d20e7b50868784f48af376c73bc3868	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	CLAM_MB_MIL	2025	87	0.5862068965517241	0.5964673913043478	0.7900732872200263	0.5927196493234229	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/CLAM_MB_MIL/seed2025/BRACS3/CLAM_MB_MIL/time_2026-07-10-11-54_BRACS3_CLAM_MB_MIL_seed_2025/Best_EPOCH_8.pth	45409cddceb970801424c50bb5c8c70fac02667ac97c9e14bcd0df72868e64c4	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	CLAM_MB_MIL	2026	87	0.6206896551724138	0.623641304347826	0.8082756916996047	0.6202077373445302	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/CLAM_MB_MIL/seed2026/BRACS3/CLAM_MB_MIL/time_2026-07-10-12-26_BRACS3_CLAM_MB_MIL_seed_2026/Best_EPOCH_14.pth	76ef5eb3b788b5bacf306d628666c3bbc90d397c7d591108286da211914e23ba	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	CLAM_SB_MIL	2024	87	0.5862068965517241	0.6005434782608695	0.7783349802371542	0.5609217171717171	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/CLAM_SB_MIL/seed2024/BRACS3/CLAM_SB_MIL/time_2026-07-10-11-25_BRACS3_CLAM_SB_MIL_seed_2024/Best_EPOCH_29.pth	26b1627aef5af48db8fcd367543622ae00bdbfa4797ec2ab0a10060c4abebdbc	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
r50	CLAM_SB_MIL	2025	87	0.5747126436781609	0.5289855072463768	0.7649785902503293	0.4948924731182796	/data15/data15_5/fanhao/projects/MIRMIL/artifacts/bracs3_baselines/matrix/r50/CLAM_SB_MIL/seed2025/BRACS3/CLAM_SB_MIL/time_2026-07-10-11-54_BRACS3_CLAM_SB_MIL_seed_2025/Best_EPOCH_9.pth	48f5cf44a938e3b709760657951a808828a7dcca03105344a00201b379d2af63	9d5eac4a3a7c086c9421e90da24c98dd9e65dd354df586301a53f110b24adf54
