dataset	feature	model	n	acc	auc	f1	note
BRACS3	r50	CLAM_MB_MIL	3	0.6092±0.0199	0.7971±0.0098	0.6090±0.0145	official test, mean±std over seeds
BRACS3	r50	DTFD_MIL	3	0.6169±0.0351	0.7966±0.0098	0.6041±0.0441	official test, mean±std over seeds
BRACS3	r50	TRANS_MIL	3	0.5364±0.0518	0.7893±0.0301	0.4963±0.0673	official test, mean±std over seeds
BRACS3	r50	CLAM_SB_MIL	3	0.5862±0.0115	0.7827±0.0203	0.5475±0.0473	official test, mean±std over seeds
BRACS3	r50	AB_MIL	3	0.5939±0.0239	0.7737±0.0128	0.5753±0.0335	official test, mean±std over seeds
BRACS3	r50	MIR_MIL_MT_V1	3	0.5709±0.0133	0.7724±0.0085	0.5584±0.0228	moment-token w01, official test, mean±std over seeds
BRACS3	r50	AC_MIL	3	0.5862±0.0414	0.7722±0.0107	0.5799±0.0350	official test, mean±std over seeds
BRACS3	r50	WIKG_MIL	3	0.5517±0.0527	0.7627±0.0230	0.4787±0.0351	official test, mean±std over seeds
BRACS3	r50	RRT_MIL	3	0.5594±0.0332	0.7596±0.0096	0.5161±0.0635	official test, mean±std over seeds
BRACS3	r50	MIR_MIL	3	0.5287±0.0345	0.7570±0.0120	0.4951±0.0765	official test, mean±std over seeds
BRACS3	r50	DS_MIL	3	0.5287±0.0345	0.7284±0.0229	0.4945±0.0584	official test, mean±std over seeds
BRACS3	uni	AC_MIL	3	0.6820±0.0332	0.8529±0.0097	0.6620±0.0476	official test, mean±std over seeds
BRACS3	uni	AB_MIL	3	0.6398±0.0289	0.8434±0.0140	0.6356±0.0257	official test, mean±std over seeds
BRACS3	uni	TRANS_MIL	3	0.6705±0.0863	0.8430±0.0437	0.6071±0.1497	official test, mean±std over seeds
BRACS3	uni	MIR_MIL_MT_V1	3	0.6628±0.0066	0.8426±0.0095	0.5962±0.0124	moment-token w01, official test, mean±std over seeds
BRACS3	uni	DTFD_MIL	3	0.6169±0.0066	0.8408±0.0229	0.6171±0.0055	official test, mean±std over seeds
BRACS3	uni	CLAM_MB_MIL	3	0.6207±0.0640	0.8366±0.0329	0.6030±0.0636	official test, mean±std over seeds
BRACS3	uni	CLAM_SB_MIL	3	0.5977±0.0527	0.8335±0.0127	0.5771±0.0425	official test, mean±std over seeds
BRACS3	uni	MIR_MIL	3	0.6284±0.0351	0.8280±0.0277	0.5727±0.0799	official test, mean±std over seeds
BRACS3	uni	DS_MIL	3	0.6552±0.0460	0.8210±0.0200	0.6330±0.0411	official test, mean±std over seeds
BRACS3	uni	WIKG_MIL	3	0.6513±0.0133	0.8209±0.0376	0.6430±0.0104	official test, mean±std over seeds
BRACS3	uni	RRT_MIL	3	0.6322±0.0501	0.8178±0.0219	0.6159±0.0421	official test, mean±std over seeds
