exp	backbone	backbone_config	max_instances	sampling	epochs	best_metric	dataset_csv	parse_ok	yaml	best_log	best_epoch	val_c_index	test_c_index
TCGA_BLCA_R50_OS	RRT_MIL	configs/RRT_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-07_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-07_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	2	0.5895334174022698	0.5426065162907269
TCGA_BLCA_R50_OS	AB_MIL	configs/AB_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-18_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-18_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	5	0.5365699873896596	0.5281954887218046
TCGA_BLCA_R50_OS	MAX_MIL	configs/MAX_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_R50_OS_split.csv	False	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-24_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-24_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	23	0.5176544766708702	0.5789473684210527
TCGA_BLCA_R50_OS	MIR_MIL	configs/releases/MIR_MIL_MT_V1.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-14_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-14_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	14	0.5138713745271122	0.5789473684210527
TCGA_BLCA_R50_OS	MIR_MIL	configs/MIR_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_R50_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-13_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-13_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv	3	0.5088272383354351	0.5626566416040101
TCGA_BLCA_UNI_OS	MIR_MIL	configs/releases/MIR_MIL_MT_V1.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-47_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-47_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv	2	0.5769230769230769	0.6372180451127819
TCGA_BLCA_UNI_OS	MIR_MIL	configs/MIR_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-46_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-46_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv	12	0.5580075662042875	0.5795739348370927
TCGA_BLCA_UNI_OS	AB_MIL	configs/AB_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-48_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-48_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv	8	0.5372005044136192	0.6322055137844611
TCGA_BLCA_UNI_OS	MEAN_MIL	configs/MEAN_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-52_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-52_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv	2	0.5145018915510718	0.6322055137844611
TCGA_BLCA_UNI_OS_MAX	MAX_MIL	configs/MAX_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-BLCA/metadata/TCGA_BLCA_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_MAX/SURVIVAL_MIL/time_2026-07-16-03-58_TCGA_BLCA_UNI_OS_MAX_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_MAX/SURVIVAL_MIL/time_2026-07-16-03-58_TCGA_BLCA_UNI_OS_MAX_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_MAX_SURVIVAL_MIL.csv	15	0.5504413619167717	0.6578947368421053
