dataset	feature_type	endpoint	model	seed	epochs	max_instances	best_epoch	best_val_c_index	test_c_index_at_best_val	train_cases	val_cases	test_cases	lr	weight_decay	cache_dir	result_dir
BLCA	R50	OS	AttMIL	1	20	4096	18	0.5053560176433523	0.5710707576706324	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_R50_OS/AttMIL/seed1_max4096_20260717_034715
BLCA	R50	OS	MaxMIL	1	20	4096	9	0.5809703843730308	0.443331246086412	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_R50_OS/MaxMIL/seed1_max4096_20260717_034704
BLCA	R50	OS	MeanMIL	1	20	4096	9	0.5343415248897291	0.5835942391984972	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_R50_OS/MeanMIL/seed1_max4096_20260717_034718
BLCA	R50	OS	RRTMIL	1	20	4096	1	0.6483931947069943	0.5078271759549154	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_R50_OS/RRTMIL/seed1_max4096_20260717_035638
BLCA	R50	OS	TransMIL	1	20	4096	18	0.5236294896030246	0.5948653725735754	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_R50_OS/TransMIL/seed1_max4096_20260717_035919
BLCA	UNI	OS	AttMIL	1	20	4096	18	0.5022054190296156	0.4815278647463995	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_UNI_OS/AttMIL/seed1_max4096_20260717_034442
BLCA	UNI	OS	MaxMIL	1	20	4096	11	0.5683679899180845	0.6217908578584846	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_UNI_OS/MaxMIL/seed1_max4096_20260717_034441
BLCA	UNI	OS	MeanMIL	1	20	4096	1	0.5500945179584121	0.580463368816531	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_UNI_OS/MeanMIL/seed1_max4096_20260717_034422
BLCA	UNI	OS	RRTMIL	1	20	4096	0	0.5393824826717076	0.6274264245460238	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_UNI_OS/RRTMIL/seed1_max4096_20260717_035639
BLCA	UNI	OS	TransMIL	1	20	4096	1	0.5702583490863264	0.5479023168440826	229	77	77	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/BLCA_UNI_OS/TransMIL/seed1_max4096_20260717_035927
KIRC	R50	OS	AttMIL	1	20	4096	19	0.6087336244541485	0.6692531522793405	342	74	74	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_OS/AttMIL/seed1_max4096_20260717_033509
KIRC	R50	OS	MaxMIL	1	20	4096	11	0.6445414847161572	0.5780795344325897	342	74	74	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_OS/MaxMIL/seed1_max4096_20260717_033509
KIRC	R50	OS	MeanMIL	1	20	4096	19	0.5554585152838428	0.6188166828322017	342	74	74	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_OS/MeanMIL/seed1_max4096_20260717_033509
KIRC	R50	OS	RRTMIL	1	20	4096	13	0.6471615720524018	0.6168768186226964	342	74	74	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_OS/RRTMIL/seed1_max4096_20260717_035228
KIRC	R50	OS	TransMIL	1	20	4096	15	0.6218340611353712	0.5567410281280311	342	74	74	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_OS/TransMIL/seed1_max4096_20260717_035225
KIRC	R50	PFS	AttMIL	1	20	4096	5	0.6929133858267716	0.64613880742913	342	74	72	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_PFS/AttMIL/seed1_max4096_20260717_034234
KIRC	R50	PFS	MaxMIL	1	20	4096	6	0.7135826771653543	0.6129032258064516	342	74	72	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_PFS/MaxMIL/seed1_max4096_20260717_034228
KIRC	R50	PFS	MeanMIL	1	20	4096	4	0.6998031496062992	0.6256109481915934	342	74	72	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_PFS/MeanMIL/seed1_max4096_20260717_034236
KIRC	R50	PFS	RRTMIL	1	20	4096	15	0.7165354330708661	0.7067448680351907	342	74	72	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_PFS/RRTMIL/seed1_max4096_20260717_035624
KIRC	R50	PFS	TransMIL	1	20	4096	3	0.6624015748031497	0.729227761485826	342	74	72	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_R50_PFS/TransMIL/seed1_max4096_20260717_035914
KIRC	UNI	OS	AttMIL	1	20	4096	6	0.7152838427947599	0.7691561590688651	342	74	74	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_UNI_OS/AttMIL/seed1_max4096_20260717_033509
KIRC	UNI	OS	MaxMIL	1	20	4096	16	0.6646288209606986	0.6876818622696411	342	74	74	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_UNI_OS/MaxMIL/seed1_max4096_20260717_033509
KIRC	UNI	OS	MeanMIL	1	20	4096	17	0.6847161572052402	0.7546071774975752	342	74	74	0.0002	1e-05	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split_cache	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/matched_split/KIRC_UNI_OS/MeanMIL/seed1_max4096_20260717_033509
