dataset	feature	endpoint	rrt_model	backbone	mir_val_cindex	mir_test_cindex	mir_best_epoch	mir_best_log	rrt_folds_done	rrt_mean_cv_cindex	rrt_std_cv_cindex	rrt_fold_scores	rrt_paths	rrt_minus_mir_val	rrt_minus_mir_test
BLCA	R50	OS	AttMIL	AB_MIL	0.5365699873896596	0.5281954887218046	5	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-18_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv							
BLCA	R50	OS	MaxMIL	MAX_MIL	0.5176544766708702	0.5789473684210527	23	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-24_TCGA_BLCA_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_R50_OS_SURVIVAL_MIL.csv							
BLCA	UNI	OS	AttMIL	AB_MIL	0.5372005044136192	0.6322055137844611	8	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-48_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv							
BLCA	UNI	OS	MaxMIL	MAX_MIL	0.5504413619167717	0.6578947368421053	15	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS_MAX/SURVIVAL_MIL/time_2026-07-16-03-58_TCGA_BLCA_UNI_OS_MAX_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_MAX_SURVIVAL_MIL.csv							
BLCA	UNI	OS	MeanMIL	MEAN_MIL	0.5145018915510718	0.6322055137844611	2	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_BLCA_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-52_TCGA_BLCA_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_BLCA_UNI_OS_SURVIVAL_MIL.csv							
KIRC	R50	OS	AttMIL	AB_MIL	0.7019230769230769	0.7604267701260912	20	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-02-52_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv							
KIRC	R50	OS	MaxMIL	MAX_MIL	0.6625874125874126	0.584384093113482	11	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-03-29_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv							
KIRC	R50	OS	MeanMIL	MEAN_MIL	0.541083916083916	0.6042677012609118	29	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_OS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_R50_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_OS_SURVIVAL_MIL.csv	5.0	0.62856	0.05164322801684653	0.6936,0.5628,0.6222,0.6641,0.6001	/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-52-27]/fold_0/model_best_0.6936_5.pth.tar;/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-52-27]/fold_1/model_best_0.5628_14.pth.tar;/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-52-27]/fold_2/model_best_0.6222_14.pth.tar;/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-52-27]/fold_3/model_best_0.6641_13.pth.tar;/data15/data15_5/fanhao/experiments/RRTMIL_SURV_REFERENCE/results/KIRC_R50_OS_rrtmil/[MeanMIL]-[resnet50]-[2026-07-16]-[11-52-27]/fold_4/model_best_0.6001_10.pth.tar	0.08747608391608397	0.024292298739088225
KIRC	R50	PFS	AttMIL	AB_MIL	0.6820866141732284	0.6252446183953033	4	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv							
KIRC	R50	PFS	MaxMIL	MAX_MIL	0.5334645669291339	0.5391389432485323	2	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-32_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv							
